bin_center,count,normal_pdf_scaled
-0.345567,1,0.000000
-0.333905,0,0.000000
-0.322244,0,0.000000
-0.310582,1,0.000000
-0.298920,0,0.000000
-0.287258,0,0.000000
-0.275597,1,0.000000
-0.263935,1,0.000000
-0.252273,3,0.000000
-0.240611,2,0.000000
-0.228950,1,0.000000
-0.217288,1,0.000001
-0.205626,9,0.000011
-0.193964,3,0.000087
-0.182303,3,0.000617
-0.170641,9,0.003868
-0.158979,11,0.021469
-0.147317,9,0.105542
-0.135656,33,0.459526
-0.123994,19,1.772030
-0.112332,28,6.052157
-0.100670,42,18.307407
-0.089009,47,49.047985
-0.077347,92,116.383962
-0.065685,110,244.592272
-0.054023,159,455.270974
-0.042362,222,750.541703
-0.030700,425,1095.865688
-0.019038,875,1417.155364
-0.007376,2777,1623.137215
0.004285,4500,1646.533764
0.015947,1224,1479.325287
0.027609,477,1177.156910
0.039271,285,829.626596
0.050932,126,517.855521
0.062594,118,286.293963
0.074256,114,140.182372
0.085917,50,60.792815
0.097579,40,23.350100
0.109241,21,7.943335
0.120903,27,2.393286
0.132564,31,0.638652
0.144226,7,0.150942
0.155888,8,0.031596
0.167550,14,0.005858
0.179211,1,0.000962
0.190873,5,0.000140
0.202535,7,0.000018
0.214197,3,0.000002
0.225858,1,0.000000
0.237520,0,0.000000
0.249182,1,0.000000
0.260844,2,0.000000
0.272505,2,0.000000
0.284167,0,0.000000
0.295829,0,0.000000
0.307491,1,0.000000
0.319152,1,0.000000
0.330814,0,0.000000
0.342476,1,0.000000
